Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,newCountry
South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate,South Sudan
Guatemala,Totonicapan,66,Moderate,2,Good,7,Good,6,Good,66,Moderate,Guatemala
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,United States of America
United States of America,Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate,United States of America
Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate,Ireland
Turkey,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate,Turkey
Viet Nam,Tuyen Quang,167,Unhealthy,4,Good,167,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups,Viet Nam
United States of America,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good,United States of America
United States of America,Tysons Corner,55,Moderate,2,Good,25,Good,11,Good,55,Moderate,United States of America
Russian Federation,Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good,Russian Federation
India,Udupi,80,Moderate,1,Good,25,Good,0,Good,80,Moderate,India
India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy,India
United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups,United States of America
United States of America,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate,United States of America
United States of America,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate,United States of America
United States of America,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate,United States of America
China,Wulanhaote,47,Good,2,Good,47,Good,0,Good,25,Good,China
China,Xiangdong,78,Moderate,2,Good,25,Good,7,Good,78,Moderate,China
China,Xiaoweizhai,61,Moderate,2,Good,61,Moderate,0,Good,54,Moderate,China
China,Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups,China
Peru,Yanacancha,27,Good,0,Good,6,Good,1,Good,27,Good,Peru
China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy,China
Democratic Republic of the Congo,Yangambi,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups,Democratic Republic of the Congo
China,Yanggu,160,Unhealthy,3,Good,138,Unhealthy for Sensitive Groups,5,Good,160,Unhealthy,China
China,Yangliuqing,144,Unhealthy for Sensitive Groups,4,Good,109,Unhealthy for Sensitive Groups,9,Good,144,Unhealthy for Sensitive Groups,China
China,Yanji,69,Moderate,2,Good,48,Good,0,Good,69,Moderate,China
United States of America,Yankton,47,Good,1,Good,34,Good,3,Good,47,Good,United States of America
Germany,Wenden,69,Moderate,1,Good,34,Good,4,Good,69,Moderate,Germany
United States of America,West Carrollton City,84,Moderate,3,Good,9,Good,24,Good,84,Moderate,United States of America
Belgium,Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,Moderate,Belgium
Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good,Canada
Ireland,Wicklow,38,Good,1,Good,30,Good,3,Good,38,Good,Ireland
Switzerland,Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate,Switzerland
Germany,Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,Moderate,Germany
United States of America,Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,Moderate,United States of America
United States of America,Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,Moderate,United States of America
Brazil,Foz Do Iguacu,22,Good,1,Good,13,Good,0,Good,22,Good,Brazil
Denmark,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good,Denmark
United States of America,Friendly,41,Good,1,Good,30,Good,8,Good,41,Good,United States of America
Germany,Fuldatal,44,Good,1,Good,28,Good,2,Good,44,Good,Germany
Japan,Furano,29,Good,1,Good,26,Good,1,Good,29,Good,Japan
China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate,China
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good,1,Good,25,Good,3,Good,23,Good,United Kingdom of Great Britain and Northern Ireland
Germany,Gangelt,41,Good,1,Good,26,Good,4,Good,41,Good,Germany
Germany,Garbsen,36,Good,0,Good,33,Good,1,Good,36,Good,Germany
Cameroon,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate,Cameroon
Somalia,Garowe,98,Moderate,0,Good,17,Good,0,Good,98,Moderate,Somalia
Netherlands,Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,Good,Netherlands
Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good,Australia
Germany,Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,Moderate,Germany
Colombia,Girardot,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups,Colombia
Russian Federation,Glubokiy,35,Good,1,Good,35,Good,0,Good,17,Good,Russian Federation
United Kingdom of Great Britain and Northern Ireland,Golborne,35,Good,1,Good,30,Good,4,Good,35,Good,United Kingdom of Great Britain and Northern Ireland
Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good,Portugal
Russian Federation,Goryachevodskiy,48,Good,1,Good,39,Good,1,Good,48,Good,Russian Federation
India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous,India
Côte d'Ivoire,Grand Lahou,54,Moderate,1,Good,25,Good,0,Good,54,Moderate,Côte d'Ivoire
United States of America,Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,Moderate,United States of America
Sweden,Hoganas,36,Good,1,Good,36,Good,1,Good,30,Good,Sweden
United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good,United States of America
Germany,Holzminden,42,Good,0,Good,32,Good,1,Good,42,Good,Germany
China,Huaicheng,151,Unhealthy,4,Good,45,Good,4,Good,151,Unhealthy,China
Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups,Ethiopia
Nigeria,Idanre,115,Unhealthy for Sensitive Groups,3,Good,24,Good,2,Good,115,Unhealthy for Sensitive Groups,Nigeria
Italy,Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate,Italy
Germany,Ihlow,40,Good,1,Good,30,Good,2,Good,40,Good,Germany
Japan,Iizuka,45,Good,1,Good,45,Good,0,Good,38,Good,Japan
Thailand,Sungai Kolok,65,Moderate,1,Good,34,Good,0,Good,65,Moderate,Thailand
Indonesia,Sungaipenuh,17,Good,1,Good,13,Good,0,Good,17,Good,Indonesia
Russian Federation,Suvorovskaya,52,Moderate,1,Good,39,Good,1,Good,52,Moderate,Russian Federation
Japan,Suzu,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate,Japan
Poland,Swiecie,44,Good,1,Good,33,Good,1,Good,44,Good,Poland
Hungary,Szeged,50,Good,1,Good,41,Good,1,Good,50,Good,Hungary
Hungary,Szerencs,72,Moderate,1,Good,42,Good,1,Good,72,Moderate,Hungary
Tunisia,Taburbah,49,Good,1,Good,49,Good,1,Good,32,Good,Tunisia
India,Tadepallegudem,127,Unhealthy for Sensitive Groups,2,Good,65,Moderate,1,Good,127,Unhealthy for Sensitive Groups,India
Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate,Iran (Islamic Republic of)
Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good,Philippines
Japan,Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate,Japan
Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good,Japan
Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good,Japan
India,Tal,155,Unhealthy,1,Good,39,Good,0,Good,155,Unhealthy,India
Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good,Philippines
Russian Federation,Taldom,46,Good,1,Good,27,Good,1,Good,46,Good,Russian Federation
Kazakhstan,Talgar,69,Moderate,1,Good,42,Good,0,Good,69,Moderate,Kazakhstan
United States of America,Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate,United States of America
Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate,Israel
Japan,Tanashi,58,Moderate,1,Good,43,Good,3,Good,58,Moderate,Japan
Romania,Tandarei,41,Good,1,Good,41,Good,0,Good,38,Good,Romania
Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good,Philippines
Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate,Indonesia
Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good,Turkey
India,Yaval,102,Unhealthy for Sensitive Groups,1,Good,38,Good,0,Good,102,Unhealthy for Sensitive Groups,India
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate,United Kingdom of Great Britain and Northern Ireland
China,Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups,China
China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy,China
Poland,Zambrow,35,Good,1,Good,35,Good,0,Good,17,Good,Poland
Poland,Zamosc,48,Good,1,Good,35,Good,1,Good,48,Good,Poland
Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate,Belgium
Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate,Belgium
China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate,China
China,Zhicheng,160,Unhealthy,4,Good,36,Good,13,Good,160,Unhealthy,China
China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate,China
China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy,China
Mexico,Zimatlan,75,Moderate,2,Good,9,Good,6,Good,75,Moderate,Mexico
Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy,Mexico
Russian Federation,Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good,Russian Federation
Netherlands,Aalburg,30,Good,0,Good,30,Good,2,Good,29,Good,Netherlands
Spain,Abaran,47,Good,1,Good,21,Good,2,Good,47,Good,Spain
Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate,Italy
Côte d'Ivoire,Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups,Côte d'Ivoire
Mexico,Acuautla,189,Unhealthy,2,Good,9,Good,15,Good,189,Unhealthy,Mexico
United States of America,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate,United States of America
United States of America,Adelphi,54,Moderate,1,Good,32,Good,5,Good,54,Moderate,United States of America
India,Afzalgarh,198,Unhealthy,4,Good,198,Unhealthy,3,Good,188,Unhealthy,India
Nigeria,Agbor,139,Unhealthy for Sensitive Groups,7,Good,13,Good,5,Good,139,Unhealthy for Sensitive Groups,Nigeria
France,Aix En Provence,55,Moderate,1,Good,26,Good,3,Good,55,Moderate,France
Myanmar,Akyab,145,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,145,Unhealthy for Sensitive Groups,Myanmar
United States of America,Alabaster,80,Moderate,1,Good,18,Good,10,Good,80,Moderate,United States of America
Russian Federation,Alagir,50,Good,1,Good,36,Good,1,Good,50,Good,Russian Federation
Belgium,Alken,35,Good,1,Good,25,Good,3,Good,35,Good,Belgium
Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate,Canada
Brazil,Almirante Tamandare,13,Good,1,Good,12,Good,1,Good,13,Good,Brazil
Spain,Almoradi,48,Good,1,Good,23,Good,3,Good,48,Good,Spain
Papua New Guinea,Alotau,28,Good,0,Good,28,Good,0,Good,13,Good,Papua New Guinea
Germany,Altotting,50,Good,1,Good,29,Good,3,Good,50,Good,Germany
Madagascar,Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good,Madagascar
China,Anqiu,107,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,5,Good,86,Moderate,China
Madagascar,Antalaha,22,Good,0,Good,22,Good,0,Good,20,Good,Madagascar
United States of America,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate,United States of America
Lithuania,Anyksciai,47,Good,1,Good,32,Good,0,Good,47,Good,Lithuania
Ghana,Apam,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups,Ghana
Mexico,Apaseo El Grande,60,Moderate,1,Good,16,Good,5,Good,60,Moderate,Mexico
Brazil,Aragarcas,32,Good,1,Good,3,Good,2,Good,32,Good,Brazil
Russian Federation,Arkadak,28,Good,1,Good,28,Good,1,Good,15,Good,Russian Federation
France,Armentieres,34,Good,0,Good,28,Good,2,Good,34,Good,France
Russian Federation,Arsk,28,Good,1,Good,28,Good,1,Good,19,Good,Russian Federation
Azerbaijan,Artyom,48,Good,1,Good,35,Good,0,Good,48,Good,Azerbaijan
Armenia,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good,Armenia
Ethiopia,Asosa,97,Moderate,1,Good,14,Good,0,Good,97,Moderate,Ethiopia
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,Moderate,1,Good,37,Good,0,Good,75,Moderate,Iran (Islamic Republic of)
India,Atarra,194,Unhealthy,1,Good,44,Good,0,Good,194,Unhealthy,India
Guatemala,Atescatempa,104,Unhealthy for Sensitive Groups,3,Good,5,Good,10,Good,104,Unhealthy for Sensitive Groups,Guatemala
Italy,Atri,57,Moderate,1,Good,40,Good,3,Good,57,Moderate,Italy
Ukraine,Avdiyivka,41,Good,1,Good,41,Good,3,Good,27,Good,Ukraine
Portugal,Avintes,37,Good,1,Good,16,Good,7,Good,37,Good,Portugal
Malaysia,Ayer Keroh,59,Moderate,1,Good,34,Good,0,Good,59,Moderate,Malaysia
United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good,United Kingdom of Great Britain and Northern Ireland
Netherlands,Baarn,34,Good,0,Good,34,Good,1,Good,26,Good,Netherlands
Serbia,Backa Palanka,70,Moderate,1,Good,41,Good,0,Good,70,Moderate,Serbia
Germany,Bad Langensalza,32,Good,0,Good,30,Good,1,Good,32,Good,Germany
Pakistan,Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous,Pakistan
South Africa,Balfour,380,Hazardous,31,Good,1,Good,26,Good,380,Hazardous,South Africa
South Africa,Ballitoville,222,Very Unhealthy,12,Good,5,Good,14,Good,222,Very Unhealthy,South Africa
Thailand,Ban Phai,52,Moderate,0,Good,28,Good,0,Good,52,Moderate,Thailand
Malaysia,Bandar Penggaram,76,Moderate,1,Good,39,Good,0,Good,76,Moderate,Malaysia
Philippines,Bangued,27,Good,0,Good,23,Good,0,Good,27,Good,Philippines
Slovakia,Banovce,59,Moderate,1,Good,26,Good,2,Good,59,Moderate,Slovakia
Germany,Bargteheide,38,Good,0,Good,28,Good,2,Good,38,Good,Germany
United States of America,Bartlesville,56,Moderate,1,Good,23,Good,6,Good,56,Moderate,United States of America
Gambia,Basse,127,Unhealthy for Sensitive Groups,1,Good,18,Good,0,Good,127,Unhealthy for Sensitive Groups,Gambia
Pakistan,Bat Khela,117,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,1,Good,78,Moderate,Pakistan
Malaysia,Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate,Malaysia
India,Bazpur,182,Unhealthy,5,Good,170,Unhealthy,5,Good,182,Unhealthy,India
Italy,Castel Goffredo,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups,Italy
Italy,Catanzaro,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate,Italy
